search_word,users,total_events,unique_events
Jorgenson,2,2,2
1899 to 2019,2,3,3
Petermann,2,3,3
Ice Temperature,2,2,2
Starr,2,2,2
18002018 to 2020,2,2,2
North Pole Environmental Observatory,2,2,2
json,2,2,2
swl,2,2,2
Ice Mass Balance,2,2,2
Hmiel,2,2,2
water level,2,2,2
Frost,2,3,3
gender,2,2,2
David Holland,2,2,2
csank,2,2,2
inuit,2,2,2
sheba,2,2,2
litter,2,3,2
Erich Osterberg,2,2,2
netCDF,2,2,2
Adam Z. Csank,2,2,2
geochemistry,2,2,2
sue moore,2,2,2
bonnie light,2,2,2
aho,2,2,2
2013 to 2016,2,2,2
arcsees,2,2,2
rgb,2,4,3
2010 to 2016,2,2,2
Tide,2,2,2
1966 to 2020,2,2,2
susan,2,3,3
jeremy may,2,3,3
2020 to 2018,2,2,2
Denali,2,2,2
1993 to 2019,2,2,2
MODIS,2,2,2
1963 to 2018,2,2,2
koyukuk,2,2,2
ryan,2,2,2
coast,2,3,3
Maslowski,2,3,3
nutrient,2,6,4
lake peters,2,3,3
2012 to 2016,2,2,2
Soil,2,3,3
DEM,2,2,2
McConnell,2,2,2
potter,2,2,2
densiti,2,2,2
Jarvis Glacier GPR,2,2,2
EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC PRESSURE > GRAVITY WAVE,2,2,2
http://purl.dataone.org/odo/ECSO_00003084,2,2,2
netcdf,2,2,2
Brendan Kelly,2,4,3
1995 to 2018,2,2,2
1948 to 2020,2,2,2
1996 to 2019,2,2,2
blanchard,2,2,2
BrO,2,3,3
betway,2,3,2
schuur,2,2,2
Vargas,2,2,2
trace,2,2,2
Matthew Alkire,2,2,2
misp,2,4,2
Greenland ice sheet,2,2,2
carbonate,2,4,3
bahr,2,5,5
EARTH REMOTE SENSING INSTRUMENTS > PASSIVE REMOTE SENSING > POSITIONING/NAVIGATION > GPS > GPS > GLOBAL POSITIONING SYSTEM,2,2,2
Hajo Eicken,2,2,2
itp,2,2,2
Kanevskiy,2,8,8
2000 to 2017,2,2,2
fort yukon,2,2,2
elemental,2,3,2
1979 to 2019,2,3,3
liljedahl,2,3,3
Zabolotskikh,2,2,2
Wright,2,3,3
freshwater,2,3,2
2007 to 2021,2,2,2
George Kling,2,2,2
1992 to 2018,2,2,2
victoria hill,2,4,4
aquifer,2,2,2
Beaufort Lagoon Ecosystems LTER,2,4,4
whaling,2,2,2
eml 2.2,2,2,2
gabriel lewis,2,3,3
concentration,2,3,2
Perryman,2,2,2
1800 to 1825,2,2,2
CDOM,2,2,2
Lee,2,2,2
iliamna,2,2,2
Bonsell,2,2,2
1800 to 2011,2,2,2
icecaps,2,9,9
baumann,2,3,3
Slukovskii,2,2,2
cdom,2,2,2
shroyer,2,3,3
mclaren,2,2,2
imnaviat,2,2,2
1656026,2,2,2
beaufort gyre,2,6,4
miller greenland,2,2,2
john,2,3,3
infrastructure,2,2,2
latitude,2,2,2
Marine mammal,2,2,2
donald,2,2,2
wanamaker,2,3,3
NDVI,2,3,3
holton,2,7,6
primary productivity,2,2,2
DIC,2,2,2
2013 to 2015,2,2,2
wilkman,2,2,2
Kopec,2,2,2
Brendan,2,2,2
current,2,2,2
radiation,2,2,2
2013 to 2013,2,5,3
magnaprobe,2,2,2
synthesis,2,2,2
2004 to 2016,2,2,2
Timothy Pasch,2,2,2
1997 to 2019,2,2,2
NOAA,2,2,2
1987 to 2018,2,2,2
macrofauna,2,2,2
Anderson,2,3,3
aerosols,2,3,3
chukchi,2,3,3
bowhead whale,2,2,2
o-buoy,2,4,3
chlorophyll a,2,2,2
LST,2,3,2
china,2,2,2
Stemland,2,3,2
HLY1002,2,2,2
Patrick Sullivan,2,6,6
Danielson,2,4,4
1804 to 2020,2,2,2
heather,2,3,2
kolyma,2,2,2
kvile,2,6,6
atmospheric,2,2,2
.csv,2,2,2
BAID,2,4,2
o'brien,2,2,2
alkalinity,2,4,2
MAR,2,3,3
hasson,2,3,2
picea,2,2,2
Benjamin Jones,2,2,2
http://purl.dataone.org/odo/ECSO_00001187,2,2,2
aerial,2,3,3
1993 to 2014,2,2,2
Chemistry,2,2,2
GEOTRACES,2,2,2
Shur,2,7,2
Spall,2,2,2
michael brady,2,2,2
artic,2,4,3
Chen,2,5,5
