Page,Users,Sessions,Pageviews,Unique Pageviews,Bounce Rate,Entrances,Users % of Total
/view/doi:10.18739/A2435B,13,8,17,14,0.875,8,0.021981
/view/doi:10.5065/D6FQ9TN2,12,12,25,16,0.5,12,0.021797
/view/arctic-data.3946.1,12,0,15,13,null,0,0.021617
/view/urn:uuid:4cafe16b-b91b-4ea0-9cb0-6a8fb8eb4525,12,1,42,21,0,1,0.021439
/view/doi:10.18739/A2WD3H,12,8,18,14,0.625,8,0.021265
/view/urn:uuid:d5f75e20-0848-4423-ab66-b6e0dbc7affd,12,1,25,17,0,1,0.021094
/view/urn:uuid:4cd85ff3-6918-4612-afe3-bcbe2e97c529,12,12,44,30,0.25,12,0.020926
/view/urn:uuid:0f9c23aa-25af-486b-9e57-21f701a5d179,12,2,25,16,1,2,0.020761
/view/urn:uuid:aa9106b1-3e35-44fe-9e9e-06ff0594cd83,12,1,32,15,0,1,0.020599
/view/doi:10.18739/A2ZS96,12,3,23,18,0.333333333,3,0.02044
/view/urn:uuid:39626dff-8057-4ee9-b27a-5002103423ed,12,1,26,14,0,1,0.020283
/view/urn:uuid:566c9b85-abe5-4f63-afae-2efca0cb2626,12,4,33,21,0.25,4,0.02013
/view/doi:10.18739/A2FD1Q,12,0,26,16,null,0,0.019978
/view/urn:uuid:3e1b52e3-4b6d-4e4e-b17f-89687fbbff18,12,5,22,18,0.6,5,0.01983
/view/arctic-data.6151.5,12,2,27,16,0.5,2,0.019683
/profile/http://orcid.org/0000-0002-9766-8044,12,4,48,32,0,4,0.01954
/view/urn:uuid:594c715d-641b-492d-971c-0bfef6257085,12,4,35,18,1,4,0.019398
/view/arctic-data.7792.4,12,5,31,22,0.8,5,0.019259
/view/arctic-data.6192.1,12,6,30,22,0.333333333,7,0.019122
/view/arctic-data.3954.1,12,1,15,12,0,1,0.018987
/view/doi:10.18739/A2DS8V,12,10,32,20,0.8,10,0.018855
/view/doi:10.18739/A2D08X,12,5,31,23,0.4,5,0.018724
/home.html,12,73,82,79,0.917808219,73,0.018596
/view/urn:uuid:82cb5d47-7763-44bb-9c96-08638efc8781,12,2,15,13,0,2,0.01847
/view/urn:uuid:43af3419-dca5-4e57-a210-b2a65a55e3ac,12,4,21,16,1,4,0.018345
/view/arctic-data.9448.1,11,1,38,21,0,1,0.018221
/view/urn:uuid:92796d5c-bf70-4822-9a36-e3730f8ac193,11,2,12,11,1,2,0.018099
/view/arctic-data.9389.1,11,1,35,19,0,1,0.017978
/view/urn:uuid:a8d74d9d-732f-4ee2-ae93-076f9f10f167,11,0,20,14,null,0,0.01786
/view/doi:10.18739/A2ZH2S,11,0,25,13,null,0,0.017743
/view/urn:uuid:15120906-ddeb-4d8d-be69-799147216f0b,11,3,17,13,0,3,0.017628
/mdq/urn:uuid:011527e4-1657-4977-aff2-c766024d4416,11,23,40,27,0.565217391,23,0.017515
/view/arctic-data.3950.2,11,0,13,11,null,0,0.017403
/view/doi:10.18739/A2H94F,11,1,14,12,0,1,0.017293
/view/arctic-data.9431.4,11,8,29,18,0.75,8,0.017184
/view/urn:uuid:295538bd-9e42-4e70-98f6-c7d33996073a,11,2,39,21,0,3,0.017077
/view/urn:uuid:8907e358-7d16-4411-9eb5-c83666bc8551,11,7,22,15,0.571428571,7,0.016972
/view/urn:uuid:478b7fc5-df07-40f5-926c-48cc538aa22d,11,3,27,19,0.666666667,3,0.016868
/view/arctic-data.9543.1,11,1,16,13,1,1,0.016765
/view/doi:10.18739/A2VD36,11,0,21,19,null,0,0.016664
/view/arctic-data.9414.3,11,1,21,15,0,1,0.016564
/view/urn:uuid:44400f74-c0a8-45c1-b2f2-9dd9e2231c3d,11,6,29,23,0.833333333,6,0.016466
/view/urn:uuid:0599306e-2ed9-4f5f-a5aa-f1f05e70cebe,11,3,38,28,0.333333333,4,0.016368
/view/arctic-data.9464.1,11,2,26,21,0,2,0.016273
/view/arctic-data.9418.1,11,3,24,20,0.333333333,3,0.016178
/view/urn:uuid:cc3c019f-3e50-497f-a37e-ca717c6ef2f0,11,2,28,19,0,2,0.016085
/view/doi:10.18739/A2HS7D,11,1,27,25,1,1,0.015993
/view/urn:uuid:a4bb1035-cef3-4cf9-9283-0d1ea78cdf07,11,10,25,20,0.7,10,0.015902
/view/arctic-data.1577.2,11,0,22,17,null,0,0.015812
/view/urn:uuid:b0d29215-b5d5-4cad-9cc8-29241e2e62cf,11,1,16,12,1,1,0.015724
/view/arctic-data.9545.1,10,3,25,17,0,3,0.015635
/view/urn:uuid:f1a8877a-0d22-4d7d-9214-5bc29dc393b6,10,2,16,13,0.5,2,0.015548
/view/arctic-data.9548.2,10,1,23,15,1,1,0.015461
/view/arctic-data.9512.2,10,0,37,18,null,0,0.015376
/view/urn:uuid:1b96e994-20a1-4445-a327-3256c040034f,10,7,36,17,0.571428571,7,0.015292
