event_label,users,total_events,unique_events
481.16,3,3,3
seagrass,3,4,3
Catlin,3,4,3
stott,3,3,3
pulsifer,3,3,3
1348450,3,3,3
doi:10.5065/D6VX0DPX,3,6,5
Oechel,3,6,4
2001 to 2015,3,5,4
urn:uuid:a8f60e5b-10b6-46f2-b5dc-02730a513e09,3,3,3
Bahr,3,4,4
doi:10.5065/D6P26W70,3,6,4
1993 to 1993,3,16,13
Koenig,3,3,3
AON,3,3,3
1263005,3,4,3
1995 to 2015,3,4,3
Simpson,3,7,5
1980 to 1980,3,3,3
detlev,3,3,3
2013 to 2013,3,5,3
radiation,3,5,4
chellman,3,3,3
1978 to 1978,3,9,7
1978 to 2015,3,5,5
muenchow,3,5,5
itp32,3,5,4
Jones,3,3,3
1987 to 2015,3,3,3
peirce,3,3,3
1997 to 2015,3,4,4
npeo,3,3,3
2013 to 2016,3,3,3
Vladimir E. Romanovsky,3,7,4
Loranty,3,4,4
1205008,3,6,4
montgomery,3,8,8
sodar,3,4,3
accident,3,3,3
Arctic GRO,3,3,3
1547011,3,3,3
Chin,3,3,3
2012 to 2014,3,3,3
Matthew Shupe,3,3,3
ocean temperature,3,4,4
black carbon,3,3,3
1972 to 2015,3,3,3
SADCP,3,3,3
paden,3,14,9
switchyard,3,5,3
Beaufort,3,3,3
lai,3,3,3
daanen,3,5,5
CO2,3,4,4
DBO1,3,3,3
petrov,2,2,2
2003 to 2015,2,2,2
Kuparuk,2,2,2
doi:10.18739/A2KW9T,2,4,3
Ice Thickness,2,2,2
klein,2,2,2
viper project,2,3,3
jha,2,3,2
atqasuk,2,4,3
doi:10.5065/D64J0C8T,2,6,5
xiaofeng,2,5,5
OASIS,2,2,2
alexandra,2,2,2
Canada,2,2,2
video,2,2,2
doi:10.18739/A2FH24,2,4,4
doi:10.5065/D6ZG6QCB,2,2,2
doi:10.5065/D64J0C7C,2,3,3
doi:10.18739/A2SP87,2,3,3
birds,2,3,3
Jeremy May,2,2,2
1975 to 2015,2,5,5
1203506,2,3,3
481.127,2,3,2
.raw,2,2,2
phylogeny,2,2,2
Precipitation Occurrence Sensor System,2,2,2
Social Science Interview,2,2,2
OBUOY,2,2,2
Polar bear,2,2,2
eddy,2,2,2
Sturm,2,2,2
airborne,2,2,2
